cat_code,country,county,f_class,f_code,gid,lat,lon,name,state
US.AL.089,US,89,P,PPLA2,4068590,34.7304,-86.58594000000001,Huntsville,AL
US.AL.071,US,71,A,ADM2,4069472,34.77941,-85.9993,Jackson County,AL
US.AL.127,US,127,P,PPLA2,4069659,33.83122,-87.27750999999999,Jasper,AL
US.AL.073,US,73,A,ADM2,4069696,33.55431,-86.89649,Jefferson County,AL
US.AL.017,US,17,P,PPLA2,4071267,32.89985,-85.40106,Lafayette,AL
US.AL.075,US,75,A,ADM2,4071676,33.77921,-88.0969,Lamar County,AL
US.AL.077,US,77,A,ADM2,4071898,34.90137,-87.654,Lauderdale County,AL
US.AL.079,US,79,A,ADM2,4071959,34.52165,-87.31104,Lawrence County,AL
US.AL.081,US,81,A,ADM2,4072098,32.60114,-85.35556,Lee County,AL
US.AL.083,US,83,A,ADM2,4072707,34.81008,-86.98137,Limestone County,AL
US.AL.091,US,91,P,PPLA2,4072752,32.30625,-87.79807,Linden,AL
US.AL.119,US,119,P,PPLA2,4073383,32.5843,-88.18725,Livingston,AL
US.AL.085,US,85,A,ADM2,4073885,32.15475,-86.65011,Lowndes County,AL
US.AL.041,US,41,P,PPLA2,4073985,31.71655,-86.26385,Luverne,AL
US.AL.087,US,87,A,ADM2,4074246,32.38597,-85.69266999999999,Macon County,AL
US.AL.089,US,89,A,ADM2,4074277,34.763090000000005,-86.55020999999999,Madison County,AL
US.AL.091,US,91,A,ADM2,4074590,32.247609999999995,-87.78952,Marengo County,AL
US.AL.093,US,93,A,ADM2,4074636,34.13655,-87.88714,Marion County,AL
US.AL.105,US,105,P,PPLA2,4074673,32.63235,-87.31917,Marion,AL
US.AL.095,US,95,A,ADM2,4074736,34.36696,-86.30664,Marshall County,AL
US.AL.097,US,97,P,PPLA2,4076598,30.694359999999996,-88.04305,Mobile,AL
US.AL.097,US,97,A,ADM2,4076607,30.68515,-88.19753,Mobile County,AL
US.AL.099,US,99,A,ADM2,4076706,31.570840000000004,-87.36543,Monroe County,AL
US.AL.099,US,99,P,PPLA2,4076725,31.52794,-87.32471,Monroeville,AL
US.AL.101,US,101,A,ADM2,4076795,32.220259999999996,-86.20761,Montgomery County,AL
US.AL.103,US,103,A,ADM2,4077029,34.45347,-86.85293,Morgan County,AL
US.AL.079,US,79,P,PPLA2,4077329,34.48121,-87.29335,Moulton,AL
US.AL.081,US,81,P,PPLA2,4081644,32.64541,-85.37828,Opelika,AL
US.AL.009,US,9,P,PPLA2,4081671,33.94815,-86.47276,Oneonta,AL
