name,latitude,longitude,state,admin2_code,geonameid
Pike County,34.1635,-93.65634,AR,109,4126123
Poinsett County,35.57404,-90.66293,AR,111,4126942
Polk County,34.48584,-94.22807,AR,113,4127017
Pope County,35.44763,-93.03416,AR,115,4127100
Prairie County,34.82979,-91.55277,AR,117,4127330
Pulaski County,34.76993,-92.3118,AR,119,4127619
Randolph County,36.34148,-91.02772,AR,121,4127846
Saint Francis County,35.022,-90.74778,AR,123,4129533
Saline County,34.64662,-92.67657,AR,125,4130035
Scott County,34.86077,-94.06325,AR,127,4130373
Searcy County,35.9109,-92.69949,AR,129,4130432
Sebastian County,35.19926,-94.27391,AR,131,4130449
Sevier County,33.9972,-94.24122,AR,133,4130562
Sharp County,36.16116,-91.47986,AR,135,4130730
Stone County,35.85987,-92.15668,AR,137,4132456
Union County,33.17136,-92.59729,AR,139,4134330
Van Buren County,35.58065,-92.5157,AR,141,4134690
Washington County,35.97907,-94.21558,AR,143,4135394
White County,35.25627,-91.74555,AR,145,4136143
Woodruff County,35.18633,-91.24307,AR,147,4137047
Yell County,35.0026,-93.41125,AR,149,4137268
Washington County,38.96678,-77.04137,DC,001,4140987
Kent County,39.09595,-75.50461,DE,001,4143221
New Castle County,39.57833,-75.63898,DE,003,4143835
Sussex County,38.6833,-75.33954,DE,005,4144895
Alachua County,29.67476,-82.3577,FL,001,4145709
Baker County,30.33107,-82.28459,FL,003,4146548
Bay County,30.23765,-85.63262,FL,005,4146810
Bradford County,29.94996,-82.16878,FL,007,4148735
Brevard County,28.30031,-80.70121,FL,009,4148826
Broward County,26.15186,-80.45589,FL,011,4149007
Calhoun County,30.40603,-85.19721,FL,013,4149608
Charlotte County,26.89985,-81.95031,FL,015,4150627
Citrus County,28.84757,-82.52011,FL,017,4151140
Clay County,29.98307,-81.85789,FL,019,4151245
Collier County,26.09924,-81.38097,FL,021,4151550
Columbia County,30.22424,-82.62154,FL,023,4151595
DeSoto County,27.18632,-81.8093,FL,027,4152927
Dixie County,29.58124,-83.18703,FL,029,4153352
Duval County,30.33544,-81.64801,FL,031,4153840
Escambia County,30.6144,-87.34136,FL,033,4154550
Flagler County,29.47115,-81.29299,FL,035,4155535
Franklin County,29.81168,-84.80046,FL,037,4156210
Gadsden County,30.57947,-84.6136,FL,039,4156394
Gilchrist County,29.72582,-82.80037,FL,041,4156770
Glades County,26.95648,-81.18898,FL,043,4156815
Gulf County,29.90862,-85.26101,FL,045,4157652
Hamilton County,30.49643,-82.94796,FL,047,4157924
Hardee County,27.4927,-81.80993,FL,049,4158068
Hendry County,26.55349,-81.1659,FL,051,4158392
Hernando County,28.55617,-82.46849,FL,053,4158449
Highlands County,27.3434,-81.34097,FL,055,4158643
