v_ids
5143419.0
5148855.0
5153924.0
4917523.0
4919451.0
4902567.0
4338415.0
4695325.0
4693472.0
4703384.0
4691553.0
4682380.0
5527554.0
5525042.0
5488441.0
5290124.0
5574093.0
5710756.0
5789448.0
5058868.0
5023465.0
5266764.0
5253884.0
5268850.0
4854529.0
4846691.0
4846398.0
5230213.0
5227237.0
5228742.0
5028087.0
5059163.0
5020733.0
5074472.0
4859234.0
4379634.0
4387545.0
4106458.0
4111319.0
4719416.0
4707814.0
4717232.0
4682698.0
4542100.0
5445855.0
5582371.0
5703670.0
5389519.0
5392171.0
5391295.0
5370590.0
5405878.0
5544619.0
5695604.0
5693164.0
4267733.0
4386332.0
4381866.0
4659233.0
4209448.0
4179193.0
4207205.0
4465106.0
4579418.0
4621130.0
4607201.0
4296081.0
4289445.0
4297653.0
4285268.0
4339684.0
4336153.0
4322811.0
4429197.0
4191735.0
4188934.0
4185863.0
4657077.0
4636442.0
4391354.0
4410287.0
4542692.0
4529987.0
4538142.0
4535783.0
4252548.0
4232568.0
4528810.0
4521708.0
5216260.0
4935951.0
4845904.0
4354234.0
4366159.0
4771980.0
4786946.0
4787296.0
4771235.0
4975418.0
5239188.0
